Date,Nifty,CCIL,Mibor,Gold,Hybrid
14-04-2004,5081.95,1018.76,101.84,5610.94,944.56
15-04-2004,5058.55,1018.39,101.85,5714.38,942.36
16-04-2004,4835.39,1014.42,101.89,5699.18,921.27
17-04-2004,4759.62,1007.17,101.9,5732.2,911.16
18-04-2004,4835.12,1008.65,101.91,5701.91,918.36
19-04-2004,4923.69,1005.77,101.92,5641.5,924.51
20-04-2004,4817.99,1006.96,101.94,5583.13,916.05
21-04-2004,4889,1008.04,101.97,5609.12,922.67
22-04-2004,4938.15,1010.87,101.99,5649.64,928.29
23-04-2004,4962.63,1010.04,102,5606.3,929.98
24-04-2004,4963.75,1007.68,102.01,5498.77,928.89
25-04-2004,4944.64,1004.84,102.02,5534.07,925.84
26-04-2004,4832.71,1004.49,102.06,5529.2,916.08
27-04-2004,4746.01,1000.05,102.07,5535.7,906.43
28-04-2004,4814.85,995.79,102.09,5614.12,910.2
29-04-2004,4788.8,999.07,102.1,5558,909.61
30-04-2004,4839.88,1000.63,102.11,5619.73,914.76
01-05-2004,4769.99,996.34,102.15,5739.02,906.63
02-05-2004,4738.62,988.88,102.16,5762.41,900.21
03-05-2004,4735.86,979.79,102.18,5817.35,895.43
04-05-2004,4644,973.63,102.19,5745.8,884.49
05-05-2004,4708.55,975.9,102.2,5875.65,891.15
06-05-2004,4756.39,970.06,102.24,5872.13,892.33
07-05-2004,4837.6,971.14,102.25,5862.5,899.82
08-05-2004,4841.38,971.55,102.26,5752.98,900.35
09-05-2004,4795.46,970.69,102.28,5776.24,895.99
10-05-2004,4874.05,972.47,102.29,5779.31,903.61
11-05-2004,4870.58,972.43,102.33,5790.18,903.29
12-05-2004,4843.77,979.93,102.34,5803.39,904.75
13-05-2004,4928.59,981.19,102.35,5747.03,912.64
14-05-2004,4955.97,980.74,102.36,5865.41,914.76
15-05-2004,4843.84,978.09,102.38,5929.24,903.83
16-05-2004,4945.48,976.67,102.41,5922.8,911.82
17-05-2004,4944.54,973.8,102.43,5924.41,910.31
18-05-2004,4898.99,974.79,102.44,5871.61,906.9
19-05-2004,4848.3,974.14,102.45,5924.65,902.24
20-05-2004,4888.19,970.01,102.46,5928.05,903.59
21-05-2004,4951.17,966.59,102.5,5931.07,907.27
22-05-2004,4975.4,972.23,102.51,5958.71,912.17
23-05-2004,4957.88,973.41,102.53,5873.21,911.26
24-05-2004,4993.76,972.48,102.54,5845.82,913.86
25-05-2004,5054.29,970.95,102.55,5819.23,918.28
26-05-2004,5073.34,967.83,102.59,5747.47,918.35
27-05-2004,5118.17,968.97,102.6,5757.42,922.76
28-05-2004,5075.88,967.26,102.62,5711.91,918.28
29-05-2004,5070.29,962.86,102.63,5733.2,915.61
30-05-2004,5120.45,951.2,102.64,5739.11,914.07
31-05-2004,5170.32,953.35,102.68,5780.35,919.42
01-06-2004,5202.53,952.27,102.69,5779.67,921.63
02-06-2004,5194.63,949.31,102.7,5817.88,919.48
03-06-2004,5169.07,952.05,102.72,5793.22,918.66
04-06-2004,5252.78,954.18,102.73,5797.73,926.89
05-06-2004,5196.99,949.24,102.77,5893.19,919.64
06-06-2004,5233.21,938.15,102.78,5908.78,917.2
07-06-2004,5252.05,929.26,102.79,5876.32,914.37
08-06-2004,5175.16,923.53,102.81,5842.43,904.92
09-06-2004,5139.77,925.23,102.82,5808.89,902.74
10-06-2004,5102.92,922.44,102.86,5873.03,898.19
11-06-2004,5102.37,925.27,102.88,5945.12,899.56
12-06-2004,5102.94,927.72,102.89,5965.06,900.83
13-06-2004,5038.28,929.58,102.9,5965.06,896.23
14-06-2004,5123.65,926,102.92,5995.63,901.75
15-06-2004,5064.66,926.19,102.95,6086.73,896.79
16-06-2004,5033.69,933.69,102.97,6014.91,897.89
17-06-2004,5067.39,938.64,102.98,5943.68,903.25
18-06-2004,5088.56,946.46,102.99,5997.49,908.97
19-06-2004,5135.45,943.85,103.01,6003.42,911.68
20-06-2004,5117.01,951.69,103.04,5948.27,914.02
21-06-2004,5186.45,953.56,103.06,6006.01,920.9
22-06-2004,5192.08,951.99,103.07,6045.64,920.6
23-06-2004,5210.85,960.63,103.08,6024.96,926.53
24-06-2004,5198.72,958.17,103.09,5989.95,924.26
25-06-2004,5218.46,960.25,103.13,5905.89,926.99
26-06-2004,5246.23,968.82,103.14,5925.8,933.65
27-06-2004,5264.67,967.96,103.16,5869.35,934.8
28-06-2004,5298.16,965.07,103.17,5890.24,936.22
29-06-2004,5298.23,965.61,103.18,5885.25,936.5
30-06-2004,5370.05,965.97,103.22,5918.85,942.83
01-07-2004,5397.46,955.39,103.23,5936.53,939.89
02-07-2004,5428.77,959.18,103.25,5915.15,944.46
03-07-2004,5420.09,957.82,103.26,5901.86,943.04
04-07-2004,5477.68,958.16,103.27,5901.86,948.14
05-07-2004,5561.15,960.04,103.31,5927.86,956.23
06-07-2004,5545.82,958.66,103.32,5918.9,954.23
07-07-2004,5605.93,960.99,103.34,5966.19,960.54
08-07-2004,5616.87,960.54,103.35,5947.17,961.25
09-07-2004,5539.48,963.82,103.36,5987.31,956.26
10-07-2004,5527.75,966.82,103.4,5956.5,956.76
11-07-2004,5511.81,964.19,103.42,5974.53,954.08
12-07-2004,5462.61,959.95,103.43,6047.24,947.75
13-07-2004,5527.56,955.76,103.44,6048.08,951.21
14-07-2004,5583.61,957.36,103.45,6119.26,956.81
15-07-2004,5675.54,951.23,103.49,6121.5,961.62
16-07-2004,5766.3,948.05,103.51,6039.19,967.8
17-07-2004,5758.67,947.47,103.52,6107.75,966.86
18-07-2004,5713.75,946.39,103.53,6101.78,962.47
19-07-2004,5773.66,942.69,103.55,6107.5,965.75
20-07-2004,5776.85,943.25,103.58,6165.98,966.31
21-07-2004,5717.54,933.28,103.6,6152.74,956.24
22-07-2004,5676.73,932.58,103.61,6062.95,952.4
23-07-2004,5676.73,932.79,103.62,6077.23,952.5
24-07-2004,5713.1,935.06,103.64,6100.47,956.75
25-07-2004,5686.73,935.88,103.68,6110.32,954.9
26-07-2004,5679.83,934.34,103.69,6080.88,953.54
