,Nifty,CCIL,Mibor,Gold
0,68582708.91381705,3984361.5488271387,408704.91754187975,61405382.34447937
1,3984361.5488271387,265051.2672957824,26424.78711079644,4001307.1749925567
2,408704.91754187975,26424.78711079644,2691.73820553719,406166.4096239001
3,61405382.34447937,4001307.1749925567,406166.4096239001,80602491.6020703
